#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
50000    	 100000       	 883796.00        	 10.000000  	 0.05           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
5000     	 500000       	 945867.00        	 4.000000   	 0.01           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
5000     	 500000       	 966209.00        	 5.000000   	 0.00           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
5000     	 500000       	 964639.00        	 5.000000   	 0.00           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
5000     	 500000       	 968829.00        	 4.000000   	 0.00           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
5000     	 500000       	 958310.00        	 5.000000   	 0.00           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
5000     	 500000       	 954066.00        	 4.000000   	 0.00           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
5000     	 500000       	 967450.00        	 5.000000   	 0.00           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
5000     	 500000       	 952756.00        	 4.000000   	 0.01           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
5000     	 500000       	 948352.00        	 5.000000   	 0.01           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
5000     	 500000       	 971277.00        	 4.000000   	 0.00           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 500000       	 1190675.00       	 6.000000   	 0.01           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 500000       	 1199420.00       	 5.000000   	 0.01           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 500000       	 1193128.00       	 5.000000   	 0.01           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 500000       	 1193465.00       	 5.000000   	 0.01           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 500000       	 1197192.00       	 5.000000   	 0.01           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 500000       	 1196454.00       	 5.000000   	 0.01           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 500000       	 1193511.00       	 5.000000   	 0.01           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 500000       	 1199252.00       	 5.000000   	 0.01           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 500000       	 1191611.00       	 5.000000   	 0.01           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 500000       	 1199023.00       	 5.000000   	 0.01           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
50000    	 500000       	 4382370.00       	 10.000000  	 0.01           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
50000    	 500000       	 4368980.00       	 11.000000  	 0.01           
